audit_id,corpus_group,id,publication_date,month,section_name,web_title,headline,trail_text,web_url,ai_keyword_hit,ai_text_hit,reviewer_label,reviewer_notes,allowed_labels
1,strict,society/2024/dec/23/nhs-to-begin-world-first-trial-of-ai-tool-to-identify-type-2-diabetes-risk,2024-12-23,2024-12-01,Society,NHS to begin world-first trial of AI tool to identify type 2 diabetes risk,NHS to begin world-first trial of AI tool to identify type 2 diabetes risk,Exclusive: Two London hospital trusts to trial tool that can predict those at risk up to 13 years before condition develops,https://www.theguardian.com/society/2024/dec/23/nhs-to-begin-world-first-trial-of-ai-tool-to-identify-type-2-diabetes-risk,,,,,core_ai_article | incidental_ai_mention | unclear
2,strict,commentisfree/2023/oct/28/artists-artificial-intelligences-lawsuits-scraping-midjourney-dataset-nightshade,2023-10-28,2023-10-01,Opinion,AI firms may pay a high price for their software’s artistic abilities | John Naughton,Artists may make AI firms pay a high price for their software’s ‘creativity’,"Computer-generated art seemed magical at first, but it works by ‘scraping’ the creations of real people. Now they’re angry, and have the tools to fight back",https://www.theguardian.com/commentisfree/2023/oct/28/artists-artificial-intelligences-lawsuits-scraping-midjourney-dataset-nightshade,,,,,core_ai_article | incidental_ai_mention | unclear
3,strict,commentisfree/2025/jan/25/now-gen-ai-has-stopped-telling-us-to-glue-cheese-to-pizza-its-bland-as-a-margherita,2025-01-25,2025-01-01,Opinion,"Now gen AI has stopped telling us to glue cheese to pizza, it’s bland as a margherita | Tim Adams","Now gen AI has stopped telling us to glue cheese to pizza, it’s bland as a margherita","Despite fewer silly glitches, you now get an executive summary of the world, with all interesting complications removed",https://www.theguardian.com/commentisfree/2025/jan/25/now-gen-ai-has-stopped-telling-us-to-glue-cheese-to-pizza-its-bland-as-a-margherita,,,,,core_ai_article | incidental_ai_mention | unclear
4,strict,society/2021/nov/09/ai-skin-cancer-diagnoses-risk-being-less-accurate-for-dark-skin-study,2021-11-09,2021-11-01,Society,AI skin cancer diagnoses risk being less accurate for dark skin – study,AI skin cancer diagnoses risk being less accurate for dark skin – study,Research finds few image databases available to develop technology contain details on ethnicity or skin type,https://www.theguardian.com/society/2021/nov/09/ai-skin-cancer-diagnoses-risk-being-less-accurate-for-dark-skin-study,,,,,core_ai_article | incidental_ai_mention | unclear
5,strict,technology/2025/sep/23/pixel-10-pro-xl-review-googles-superphone-ai-magnetic-upgrades,2025-09-23,2025-09-01,Technology,Pixel 10 Pro XL review: Google’s superphone gets AI and magnetic upgrades,Pixel 10 Pro XL review: Google’s superphone gets AI and magnetic upgrades,"Top camera, great software, solid battery life and huge screen bolstered by helpful Gemini and Qi2 support",https://www.theguardian.com/technology/2025/sep/23/pixel-10-pro-xl-review-googles-superphone-ai-magnetic-upgrades,,,,,core_ai_article | incidental_ai_mention | unclear
6,strict,australia-news/2025/jul/21/australian-training-organisation-criticised-for-using-chatbots-to-run-job-seeker-course-ntwnfb,2025-07-20,2025-07-01,Australia news,Training organisation criticised for using chatbots to run job seeker course,Training organisation criticised for using chatbots to run job seeker course,Duke Education says their course uses ‘chat-style delivery’ to deliver classes on writing emails and identifying hazards but does not utilise artificial intelligence,https://www.theguardian.com/australia-news/2025/jul/21/australian-training-organisation-criticised-for-using-chatbots-to-run-job-seeker-course-ntwnfb,,,,,core_ai_article | incidental_ai_mention | unclear
7,strict,us-news/2024/apr/05/first-thing-israel-to-reopen-erez-crossing-into-gaza,2024-04-05,2024-04-01,US news,Israel to reopen Erez crossing into Gaza | First Thing,First Thing: Israel to reopen Erez crossing into Gaza,Move to increase humanitarian aid came hours after Biden told Netanyahu that US support would depend on Israel taking concrete action to protect civilians and aid workers. Plus: Microsoft says China will interfere in US and other elections using AI,https://www.theguardian.com/us-news/2024/apr/05/first-thing-israel-to-reopen-erez-crossing-into-gaza,,,,,core_ai_article | incidental_ai_mention | unclear
8,strict,technology/2025/apr/15/pixel-9a-review-google-cut-price-android-winner,2025-04-15,2025-04-01,Technology,Pixel 9a review: Google’s cut-price Android winner,Pixel 9a review: Google’s cut-price Android winner,"Class-leading camera, top-tier chip, very long battery life, AI and quality software dominate mid-range rivals",https://www.theguardian.com/technology/2025/apr/15/pixel-9a-review-google-cut-price-android-winner,,,,,core_ai_article | incidental_ai_mention | unclear
9,strict,australia-news/2025/sep/01/everyone-in-canberra-agrees-action-is-needed-on-ai-but-what-to-do-and-how-and-at-what-cost,2025-09-01,2025-09-01,Australia news,Everyone in Canberra agrees action is needed on AI. But what to do and how? And at what cost?,Everyone in Canberra agrees action is needed on AI. But what to do and how? And at what cost?,Balancing productivity gains with the potentially negative impact on jobs and our way of life will be a defining issue for Labor,https://www.theguardian.com/australia-news/2025/sep/01/everyone-in-canberra-agrees-action-is-needed-on-ai-but-what-to-do-and-how-and-at-what-cost,,,,,core_ai_article | incidental_ai_mention | unclear
10,strict,technology/2023/feb/07/how-will-google-and-microsoft-ai-chatbots-affect-us-and-how-we-work,2023-02-07,2023-02-01,Technology,How will Google and Microsoft AI chatbots affect us and how we work?,How will Google and Microsoft AI chatbots affect us and how we work?,Microsoft-backed ChatGPT and Google’s Bard take on the future of search in the battle of the bots,https://www.theguardian.com/technology/2023/feb/07/how-will-google-and-microsoft-ai-chatbots-affect-us-and-how-we-work,,,,,core_ai_article | incidental_ai_mention | unclear
