month,broad_articles,strict_articles
2021-01-01,530,7
2021-02-01,549,10
2021-03-01,595,18
2021-04-01,538,6
2021-05-01,539,15
2021-06-01,562,10
2021-07-01,502,14
2021-08-01,519,8
2021-09-01,578,10
2021-10-01,586,17
2021-11-01,518,16
2021-12-01,476,7
2022-01-01,526,9
2022-02-01,523,9
2022-03-01,576,8
2022-04-01,495,8
2022-05-01,577,14
2022-06-01,574,16
2022-07-01,557,15
2022-08-01,536,15
2022-09-01,547,8
2022-10-01,555,7
2022-11-01,591,9
2022-12-01,581,20
2023-01-01,559,36
2023-02-01,547,48
2023-03-01,676,54
2023-04-01,698,68
2023-05-01,809,110
2023-06-01,734,72
2023-07-01,773,99
2023-08-01,674,74
2023-09-01,742,60
2023-10-01,738,76
2023-11-01,824,105
2023-12-01,658,44
2024-01-01,678,56
2024-02-01,785,71
2024-03-01,774,68
2024-04-01,767,65
2024-05-01,784,67
2024-06-01,768,64
2024-07-01,749,73
2024-08-01,759,63
2024-09-01,775,75
2024-10-01,748,60
2024-11-01,731,58
2024-12-01,629,49
2025-01-01,814,110
2025-02-01,769,101
2025-03-01,797,80
2025-04-01,755,71
2025-05-01,770,82
2025-06-01,822,102
2025-07-01,825,113
2025-08-01,741,98
2025-09-01,818,99
2025-10-01,881,122
2025-11-01,871,132
2025-12-01,860,119
