section_name,n,share
Technology,1282,0.4108974358974359
Opinion,367,0.11762820512820513
Business,175,0.05608974358974359
US news,129,0.041346153846153845
World news,116,0.03717948717948718
Australia news,113,0.03621794871794872
Books,109,0.03493589743589744
Film,91,0.029166666666666667
Society,79,0.02532051282051282
Politics,73,0.023397435897435898
Science,67,0.021474358974358974
Art and design,63,0.020192307692307693
Music,55,0.017628205128205128
Media,50,0.016025641025641024
Environment,42,0.013461538461538462
Television & radio,33,0.010576923076923078
Culture,31,0.009935897435897435
Life and style,29,0.009294871794871795
UK news,28,0.008974358974358974
Education,21,0.006730769230769231
Stage,21,0.006730769230769231
Money,19,0.00608974358974359
Sport,19,0.00608974358974359
Global development,19,0.00608974358974359
News,16,0.005128205128205128
Games,13,0.004166666666666667
Football,12,0.0038461538461538464
Law,10,0.003205128205128205
Global,9,0.0028846153846153848
Fashion,6,0.0019230769230769232
Food,4,0.001282051282051282
Info,4,0.001282051282051282
Thomson Reuters: AI futures,3,0.0009615384615384616
Wellness,3,0.0009615384615384616
Crosswords,2,0.000641025641025641
Guardian Masterclasses,2,0.000641025641025641
Travel,2,0.000641025641025641
GNM press office,2,0.000641025641025641
University of Melbourne: What's next?,1,0.0003205128205128205
