feature,importance,signed_coefficient,importance_type,model
numeric__has_openai,0.04777089,,tree impurity importance,XGBoost
numeric__format_comment,0.031648204,,tree impurity importance,XGBoost
numeric__format_news,0.019613545,,tree impurity importance,XGBoost
text__openai,0.01172363,,tree impurity importance,XGBoost
numeric__format_reviews,0.010107317,,tree impurity importance,XGBoost
text__company,0.008907901,,tree impurity importance,XGBoost
text__safety,0.008186928,,tree impurity importance,XGBoost
text__google,0.0078004743,,tree impurity importance,XGBoost
text__camera,0.007730073,,tree impurity importance,XGBoost
text__techscape,0.0076239766,,tree impurity importance,XGBoost
text__review,0.007194409,,tree impurity importance,XGBoost
text__global,0.006928522,,tree impurity importance,XGBoost
text__wall,0.0069173304,,tree impurity importance,XGBoost
text__brief,0.006905277,,tree impurity importance,XGBoost
text__elon musk,0.006894709,,tree impurity importance,XGBoost
numeric__has_copyright_creativity,0.006807284,,tree impurity importance,XGBoost
text__nvidia,0.0066749877,,tree impurity importance,XGBoost
text__letters,0.0065765097,,tree impurity importance,XGBoost
text__meta,0.006472117,,tree impurity importance,XGBoost
text__creative,0.0061699557,,tree impurity importance,XGBoost
text__media,0.006138751,,tree impurity importance,XGBoost
text__finds,0.0057469057,,tree impurity importance,XGBoost
text__apple,0.0056439512,,tree impurity importance,XGBoost
text__market,0.0055908845,,tree impurity importance,XGBoost
text__risks,0.0055362177,,tree impurity importance,XGBoost
text__trump,0.0054914625,,tree impurity importance,XGBoost
numeric__format_explainers,0.005367952,,tree impurity importance,XGBoost
text__summit,0.0053399117,,tree impurity importance,XGBoost
text__jobs,0.0053217593,,tree impurity importance,XGBoost
text__experts,0.0051237,,tree impurity importance,XGBoost
text__cancer,0.0051236623,,tree impurity importance,XGBoost
text__firm,0.0050551407,,tree impurity importance,XGBoost
numeric__has_risk_ethics,0.005005113,,tree impurity importance,XGBoost
text__university,0.0049548084,,tree impurity importance,XGBoost
text__copyright,0.004865016,,tree impurity importance,XGBoost
text__climate,0.0046981904,,tree impurity importance,XGBoost
text__economic,0.0046653803,,tree impurity importance,XGBoost
text__chatgpt,0.004610512,,tree impurity importance,XGBoost
text__nhs,0.0046035405,,tree impurity importance,XGBoost
text__using,0.0045642545,,tree impurity importance,XGBoost
text__firms,0.004555299,,tree impurity importance,XGBoost
text__elon,0.0045327465,,tree impurity importance,XGBoost
text__uk,0.0045304876,,tree impurity importance,XGBoost
text__musk,0.0044909134,,tree impurity importance,XGBoost
text__like,0.0044623986,,tree impurity importance,XGBoost
text__brief letters,0.004451903,,tree impurity importance,XGBoost
text__new book,0.00442122,,tree impurity importance,XGBoost
numeric__has_regulation,0.0044140564,,tree impurity importance,XGBoost
text__chatbot,0.0043867915,,tree impurity importance,XGBoost
text__use ai,0.0043523423,,tree impurity importance,XGBoost
text__rise,0.0043330146,,tree impurity importance,XGBoost
text__bush,0.0043251845,,tree impurity importance,XGBoost
text__chatbots,0.004254003,,tree impurity importance,XGBoost
text__ai startup,0.004210004,,tree impurity importance,XGBoost
numeric__has_education,0.0041882815,,tree impurity importance,XGBoost
text__phone,0.004171653,,tree impurity importance,XGBoost
numeric__text_word_count,0.004144165,,tree impurity importance,XGBoost
text__machine learning,0.004138728,,tree impurity importance,XGBoost
numeric__format_analysis,0.004136609,,tree impurity importance,XGBoost
text__microsoft,0.004095689,,tree impurity importance,XGBoost
text__users,0.004085264,,tree impurity importance,XGBoost
text__work,0.0040797377,,tree impurity importance,XGBoost
text__today,0.004043201,,tree impurity importance,XGBoost
text__training,0.004039439,,tree impurity importance,XGBoost
text__watchdog,0.0040335204,,tree impurity importance,XGBoost
text__report,0.0040325904,,tree impurity importance,XGBoost
text__business,0.0039397874,,tree impurity importance,XGBoost
text__deepseek,0.0039045704,,tree impurity importance,XGBoost
text__tech,0.0038549441,,tree impurity importance,XGBoost
text__eu,0.003854018,,tree impurity importance,XGBoost
text__boom,0.0038443103,,tree impurity importance,XGBoost
text__industry,0.0038394444,,tree impurity importance,XGBoost
text__startup,0.0038211856,,tree impurity importance,XGBoost
text__researchers,0.003814061,,tree impurity importance,XGBoost
text__street,0.0038133378,,tree impurity importance,XGBoost
text__project,0.003789764,,tree impurity importance,XGBoost
text__actor,0.003766873,,tree impurity importance,XGBoost
text__art,0.0037469442,,tree impurity importance,XGBoost
text__reports,0.0037463366,,tree impurity importance,XGBoost
text__secretary,0.003731653,,tree impurity importance,XGBoost
text__boss,0.003726145,,tree impurity importance,XGBoost
text__bias,0.0037240607,,tree impurity importance,XGBoost
text__risk,0.0037226384,,tree impurity importance,XGBoost
text__machine,0.0037218328,,tree impurity importance,XGBoost
text__access,0.0037166579,,tree impurity importance,XGBoost
text__000,0.0037047882,,tree impurity importance,XGBoost
text__social media,0.0036861976,,tree impurity importance,XGBoost
text__need,0.003673599,,tree impurity importance,XGBoost
text__prize,0.00367283,,tree impurity importance,XGBoost
text__government,0.0036591017,,tree impurity importance,XGBoost
text__write,0.0036525268,,tree impurity importance,XGBoost
numeric__has_dalle_midjourney,0.0036509652,,tree impurity importance,XGBoost
